id,title,thumbnail_id,listing_type_id,permalink,category_id,domain_id,order_backend,price,sold_quantity,available_quantity,tags,shipping__logistic_type,shipping__mode,shipping__store_pick_up,shipping__free_shipping,shipping__tags,seller__id,seller__nickname,seller__tags,seller__seller_reputation__level_id,seller__seller_reputation__power_seller_status,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__completed,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__total,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,installments__quantity,installments__amount,installments__rate,days_remaining,years_active
MLA1150055201,Dermaglos Facial Fps50 Efecto Seco Invisible X 50 Gr,701169-MLA50107987130_052022,gold_special,https://www.mercadolibre.com.ar/dermaglos-facial-fps50-efecto-seco-invisible-x-50-gr/p/MLA19504472,MLA392400,MLA-SUNSCREENS,1,2408.0,500,250,"['good_quality_picture', 'good_quality_thumbnail', 'standard_price_by_channel', 'supermarket_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'self_service_out']",377840555,FARMACIA SELMA,"['brand', 'large_seller', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,20114,485655,0.04,0.02,0.94,505769,60 days,85379,60 days,0.002,181,60 days,0.0028,235,60 days,0.0056,498,6,595.38,48.35,7099,4
MLA1281030701,De Preal Gel Fijación Fuerte Pote X 1050g  Sin Alcohol,831954-MLA46860551924_072021,gold_special,https://www.mercadolibre.com.ar/de-preal-gel-fijacion-fuerte-pote-x-1050g-sin-alcohol/p/MLA19971956,MLA388015,MLA-HAIR_FIXATIVES,2,1189.0,25,50,"['good_quality_thumbnail', 'supermarket_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'self_service_in']",115098808,LEGRANBOUTIQUE,"['normal', 'credits_priority_4', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,platinum,951,24347,0.0,0.01,0.99,25298,60 days,5150,60 days,0.0,2,60 days,0.0001,1,60 days,0.0,0,6,293.98,48.35,7229,10
MLA1105871821,Protector Solar Dermaglós Fps 40 Fps 40 En Emulsión De 380 ml,760969-MLA44740505606_012021,gold_special,https://www.mercadolibre.com.ar/protector-solar-dermaglos-fps40-fps-40-en-emulsion-de-380ml/p/MLA16251925,MLA392400,MLA-SUNSCREENS,3,2973.0,500,250,"['supermarket_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'standard_price_by_channel', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'self_service_out']",377840555,FARMACIA SELMA,"['brand', 'large_seller', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,20114,485655,0.04,0.02,0.94,505769,60 days,85379,60 days,0.002,181,60 days,0.0028,235,60 days,0.0056,498,6,735.07,48.35,6789,4
MLA886164539,Protector Solar Dermaglós Fps 50 Fps 50 En Emulsión De 250 ml,641809-MLA44740405275_012021,gold_special,https://www.mercadolibre.com.ar/protector-solar-dermaglos-fps50-fps-50-en-emulsion-de-250ml/p/MLA16048315,MLA392400,MLA-SUNSCREENS,4,2115.0,500,500,"['good_quality_thumbnail', 'brand_verified', 'deal_of_the_day', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",cross_docking,me2,True,False,['self_service_in'],327500259,MIFARMAWEB,"['brand', 'large_seller', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,2576,65124,0.03,0.02,0.95,67700,60 days,10353,60 days,0.0045,49,60 days,0.0067,62,60 days,0.0027,29,6,522.93,48.35,6455,4
MLA1159592432,"Bio Oil Tratamiento Para Cicatrices, Estrías, Manchas 125 Ml Tipo De Piel Piel Seca Y Envejecida, Con Estrías, Manchas Y Cicatrices",972963-MLA46837328005_072021,gold_special,https://www.mercadolibre.com.ar/bio-oil-tratamiento-para-cicatrices-estrias-manchas-125-ml-tipo-de-piel-piel-seca-y-envejecida-con-estrias-manchas-y-cicatrices/p/MLA19561135,MLA392452,MLA-FACIAL_SKIN_CARE_PRODUCTS,5,2886.0,50,500,"['good_quality_thumbnail', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",cross_docking,me2,False,False,['self_service_out'],114479414,FARMACIALELOIR,"['normal', 'credits_profile', 'messages_as_seller']",5_green,platinum,5109,109485,0.02,0.02,0.96,114594,60 days,17060,60 days,0.012,215,60 days,0.0684,1126,60 days,0.0043,77,6,713.56,48.35,7122,10
MLA862255853,Perfilador Cejas X3 Navaja Quita Vello Facial  Depilador,875450-MLA52011218870_102022,gold_special,https://articulo.mercadolibre.com.ar/MLA-862255853-perfilador-cejas-x3-navaja-quita-vello-facial-depilador-_JM,MLA454717,MLA-EYEBROW_TRIMMERS,6,399.0,5000,500,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",cross_docking,me2,False,False,['self_service_in'],314805333,DD2REGALOS,"['normal', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,platinum,22794,672488,0.05,0.03,0.92,695282,60 days,93700,60 days,0.0049,481,60 days,0.0022,212,60 days,0.0003,37,6,98.65,48.35,6317,4
MLA1106024561, Sérum L'oréal Paris Elvive Nutrición Universal De 100ml,790733-MLA52248718268_112022,gold_special,https://www.mercadolibre.com.ar/serum-loreal-paris-elvive-nutricion-universal-de-100ml/p/MLA17378222,MLA414007,MLA-HAIR_SHAMPOOS_AND_CONDITIONERS,7,1616.3,5000,200,"['good_quality_picture', 'good_quality_thumbnail', 'supermarket_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,['fulfillment'],608885756,MERCADOLIBRE SUPERMERCADO_AR,"['brand', 'large_seller', 'credits_profile', 'messages_as_seller']",5_green,platinum,35034,576394,0.04,0.0,0.96,611428,60 days,52506,60 days,0.001,59,60 days,0.0,0,60 days,0.0,0,6,399.63,48.35,6789,2
MLA1254865070,Ricky Sarkany Shine X 100ml,650386-MLA41889242859_052020,gold_special,https://www.mercadolibre.com.ar/ricky-sarkany-shine-x-100ml/p/MLA19720194,MLA1271,MLA-PERFUMES,8,4999.0,25,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'self_service_in']",115098808,LEGRANBOUTIQUE,"['normal', 'credits_priority_4', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,platinum,951,24347,0.0,0.01,0.99,25298,60 days,5150,60 days,0.0,2,60 days,0.0001,1,60 days,0.0,0,6,1236.0,48.35,7207,10
MLA1151009469,Baño De Crema Elvive L'oréal Hidratación Hialurónico 300 G,927499-MLA47636981552_092021,gold_special,https://www.mercadolibre.com.ar/bano-de-crema-elvive-loreal-hidratacion-hialuronico-300-g/p/MLA19513498,MLA29893,MLA-HAIR_TREATMENTS,9,996.5,500,50,"['good_quality_picture', 'good_quality_thumbnail', 'supermarket_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",fulfillment,me2,False,False,['fulfillment'],610743463,FARMACITY_OFICIAL,"['brand', 'large_seller', 'credits_profile', 'messages_as_seller']",5_green,platinum,11814,237259,0.09,0.01,0.9,249073,60 days,27568,60 days,0.0007,21,60 days,0.0,0,60 days,0.0035,103,6,246.38,48.35,7104,2
MLA1135347686,Máscara De Pestañas Maybelline Lash Sensational Sky High,934694-MLA49736531281_042022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1135347686-mascara-de-pestanas-maybelline-lash-sensational-sky-high-_JM,MLA29901,MLA-MASCARAS,10,5710.0,5000,250,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,['fulfillment'],608885756,MERCADOLIBRE SUPERMERCADO_AR,"['brand', 'large_seller', 'credits_profile', 'messages_as_seller']",5_green,platinum,35034,576394,0.04,0.0,0.96,611428,60 days,52506,60 days,0.001,59,60 days,0.0,0,60 days,0.0,0,6,1411.8,48.35,7005,2
