id,title,thumbnail_id,listing_type_id,permalink,category_id,domain_id,order_backend,price,sold_quantity,available_quantity,tags,variation_filters,shipping__logistic_type,shipping__store_pick_up,shipping__free_shipping,shipping__tags,seller__id,seller__nickname,seller__tags,seller__seller_reputation__level_id,seller__seller_reputation__power_seller_status,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__completed,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__total,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,installments__quantity,installments__amount,installments__rate,days_remaining,years_active
MLA1143742024,Smartwatch Digilink Monitoreo De Sueño Y Pulsaciones Negro,602153-MLA51538019666_092022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1143742024-smartwatch-digilink-monitoreo-de-sueno-y-pulsaciones-negro-_JM,MLA352679,MLA-SMARTWATCHES,1,4799.0,250,100,"['deal_of_the_day', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'standard_price_by_channel', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",['CASE_COLOR'],cross_docking,False,True,['self_service_in'],63561913,ARGENTINA COLOR,"['normal', 'credits_priority_4', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",5_green,platinum,3959,44572,0.08,0.03,0.89,48531,60 days,6991,60 days,0.0134,103,60 days,0.0477,338,60 days,0.0073,56,6,1186.55,48.35,7055,11
MLA1240842973,"Reloj Pulsera Skmei 1389 De Cuerpo Color Plateado, Analógico-digital, Para Hombre, Fondo Negro, Con Correa De Acero Inoxidable Color Plateado, Agujas Color Blanco Y Gris, Dial Negro, Blanco Y Gris, Su",646093-MLA47574132101_092021,gold_special,https://www.mercadolibre.com.ar/reloj-pulsera-skmei-1389-de-cuerpo-color-plateado-analogico-digital-para-hombre-fondo-negro-con-correa-de-acero-inoxidable-color-plateado-agujas-color-blanco-y-gris-dial-negro-blanco-y-gris-subesferas-color-negro-minuterosegundero-blanco-bisel-color-negro-y-plateado-y-desplegable/p/MLA17434522,MLA1442,MLA-WRISTWATCHES,2,7999.0,250,100,"['good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",,fulfillment,False,False,"['fulfillment', 'MLA-chg-threshold-Feb-23', 'self_service_out']",230147390,MOLTS,"['normal', 'eshop', 'developer', 'credits_profile', 'messages_as_seller']",5_green,platinum,1287,15232,0.01,0.02,0.97,16519,60 days,3488,60 days,0.0042,16,60 days,0.0002,1,60 days,0.0015,6,6,1977.75,48.35,7200,6
MLA1108316534,Colgante Yo Te Cielo,961694-MLA47881890118_102021,gold_special,https://articulo.mercadolibre.com.ar/MLA-1108316534-colgante-yo-te-cielo-_JM,MLA1436,MLA-NECKLACES,3,5990.0,500,50,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",['COLOR'],xd_drop_off,False,False,"['MLA-chg-threshold-Feb-23', 'self_service_out']",701590235,EMENTORSEMENTORS,"['normal', 'credits_profile', 'messages_as_seller']",5_green,platinum,399,4450,0.12,0.03,0.85,4849,60 days,844,60 days,0.0,0,60 days,0.0,0,60 days,0.0,0,6,1481.03,48.35,6804,2
MLA1182473246,"Smartwatch Microwear W26 1.75  Caja De  Aleación De Zinc  Oro Rosa, Malla  Rosa",815732-MLA44916250737_022021,gold_special,https://www.mercadolibre.com.ar/smartwatch-microwear-w26-175-caja-de-aleacion-de-zinc-oro-rosa-malla-rosa/p/MLA16140522,MLA352679,MLA-SMARTWATCHES,4,6610.0,500,500,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",,fulfillment,False,False,['fulfillment'],184583172,SOLAR SRL,"['normal', 'credits_priority_4', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,1020,8331,0.08,0.0,0.92,9351,60 days,1935,60 days,0.0031,7,60 days,0.0004,1,60 days,0.0,0,6,1634.32,48.35,7157,7
MLA1318105189,Reloj Skmei Táctico Militar 1346 ,751357-MLA31037529763_062019,gold_special,https://www.mercadolibre.com.ar/reloj-skmei-tactico-militar-1346/p/MLA21264600,MLA1442,MLA-WRISTWATCHES,5,3999.0,50,200,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",,fulfillment,False,False,"['fulfillment', 'self_service_out']",460893229,RADIOSPICASA,"['brand', 'large_seller', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,9857,137521,0.09,0.02,0.89,147378,60 days,37109,60 days,0.0077,311,60 days,0.0,0,60 days,0.0,0,6,988.75,48.35,7270,3
MLA878871523,Hermoso Collar Cielo Nubes Cristal + Estuche Regalo,660613-MLA42456174692_072020,gold_special,https://articulo.mercadolibre.com.ar/MLA-878871523-hermoso-collar-cielo-nubes-cristal-estuche-regalo-_JM,MLA1436,MLA-NECKLACES,6,1490.0,500,150,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",['COLOR'],fulfillment,False,False,['fulfillment'],3537671,ICH TIENDA,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,273,4964,0.01,0.02,0.97,5237,60 days,1699,60 days,0.0,1,60 days,0.0023,4,60 days,0.0,0,6,368.4,48.35,6410,16
MLA1346217194,"Xiaomi Mi Smart Band 7 1.62  Caja  Negra, Malla  Negra",740669-MLA50416735265_062022,gold_special,https://www.mercadolibre.com.ar/xiaomi-mi-smart-band-7-162-caja-negra-malla-negra/p/MLA19174175,MLA352679,MLA-SMARTWATCHES,7,18618.13,25,1,"['extended_warranty_eligible', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate']",,cross_docking,False,True,['mandatory_free_shipping'],621229920,MARSTECHSRLMARSTECHSRL,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,435,7600,0.08,0.02,0.9,8035,60 days,2916,60 days,0.0055,17,60 days,0.0255,68,60 days,0.0068,21,6,4603.33,48.35,7292,2
MLA1307084061,"Reloj Pulsera Skmei 1155 De Cuerpo Color Negro, Analógico-digital, Para Hombre, Fondo Negro, Con Correa De Poliuretano Color Negro, Agujas Color Blanco Y Azul, Dial Azul, Subesferas Color Negro, Minut",673496-MLA47617347280_092021,gold_special,https://www.mercadolibre.com.ar/reloj-pulsera-skmei-1155-de-cuerpo-color-negro-analogico-digital-para-hombre-fondo-negro-con-correa-de-poliuretano-color-negro-agujas-color-blanco-y-azul-dial-azul-subesferas-color-negro-minuterosegundero-gris-bisel-color-negro-y-azul-y-hebilla-doble/p/MLA18312899,MLA1442,MLA-WRISTWATCHES,8,4799.0,50,150,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",,fulfillment,False,False,"['fulfillment', 'self_service_out']",460893229,RADIOSPICASA,"['brand', 'large_seller', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,9857,137521,0.09,0.02,0.89,147378,60 days,37109,60 days,0.0077,311,60 days,0.0,0,60 days,0.0,0,6,1186.55,48.35,7257,3
MLA783944838,Collar Te Amo 100 Idiomas + Cajita De Regalo,666268-MLA30169670980_042019,gold_special,https://articulo.mercadolibre.com.ar/MLA-783944838-collar-te-amo-100-idiomas-cajita-de-regalo-_JM,MLA1436,MLA-NECKLACES,9,1490.0,5000,50,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",['COLOR'],fulfillment,False,False,['fulfillment'],248161760,MILENIA JOYAS,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,648,7777,0.01,0.01,0.98,8425,60 days,1586,60 days,0.0017,3,60 days,0.0,0,60 days,0.0,0,6,368.4,48.35,5905,5
MLA1240020760,"Reloj Pulsera Skmei 9185 De Cuerpo Color Negro, Analógico, Fondo Negro, Con Correa De Acero Color Negro, Agujas Color Negro Y Blanco, Dial Negro, Subesferas Color Negro, Minutero/segundero Negro Y Bla",693255-MLA47572776234_092021,gold_special,https://www.mercadolibre.com.ar/reloj-pulsera-skmei-9185-de-cuerpo-color-negro-analogico-fondo-negro-con-correa-de-acero-color-negro-agujas-color-negro-y-blanco-dial-negro-subesferas-color-negro-minuterosegundero-negro-y-blanco-bisel-color-negro-y-hebilla-de-gancho/p/MLA17369370,MLA1442,MLA-WRISTWATCHES,10,7799.0,200,1,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",,fulfillment,False,False,"['fulfillment', 'MLA-chg-threshold-Feb-23', 'self_service_in']",269998830,DX ELECTRONICA,"['normal', 'credits_profile', 'messages_as_seller']",5_green,platinum,2298,29412,0.03,0.02,0.95,31710,60 days,3482,60 days,0.0045,17,60 days,0.0185,67,60 days,0.0007,3,6,1928.3,48.35,7200,5
MLA918817346,Collar Corazon Magnetico Distancia  Pareja Amistad + Cajita,845816-MLA50283999896_062022,gold_special,https://articulo.mercadolibre.com.ar/MLA-918817346-collar-corazon-magnetico-distancia-pareja-amistad-cajita-_JM,MLA1436,MLA-NECKLACES,11,1500.0,5,1,"['good_quality_thumbnail', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",['COLOR'],fulfillment,False,False,['fulfillment'],3537671,ICH TIENDA,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,273,4964,0.01,0.02,0.97,5237,60 days,1699,60 days,0.0,1,60 days,0.0023,4,60 days,0.0,0,6,370.88,48.35,6639,16
