id,title,thumbnail_id,listing_type_id,permalink,category_id,domain_id,order_backend,price,sold_quantity,available_quantity,tags,shipping__logistic_type,shipping__mode,shipping__store_pick_up,shipping__free_shipping,shipping__tags,seller__id,seller__nickname,seller__car_dealer,seller__tags,seller__car_dealer_logo,seller__seller_reputation__level_id,seller__seller_reputation__power_seller_status,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__completed,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__total,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,installments__quantity,installments__amount,installments__rate,days_remaining,years_active
MLA1109820970,Amoladora Angular Black+decker G720n Naranja 820 w 220 v Llaves,871779-MLA40527019709_012020,gold_special,https://www.mercadolibre.com.ar/amoladora-angular-blackdecker-g720n-naranja-820w-220v-llaves/p/MLA6067073,MLA5229,MLA-POWER_GRINDERS,1,11094.0,500,250,"['good_quality_picture', 'good_quality_thumbnail', 'lightning_deal', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'mandatory_free_shipping']",608846165,MERCADOLIBRE ELECTRONICA_AR,False,"['brand', 'large_seller', 'credits_profile', 'messages_as_seller']",,5_green,platinum,47430,759391,0.09,0.02,0.89,806821,60 days,101804,60 days,0.0098,1062,60 days,0.0,0,60 days,0.0,0,6,2742.99,48.35,7242,2
MLA1220321026,Taladro Percutor Eléctrico Fierce Ftp601p 600 W 3000 Rpm,852726-MLA51808037175_102022,gold_special,https://www.mercadolibre.com.ar/taladro-percutor-electrico-fierce-ftp601p-600-w-3000-rpm/p/MLA19686834,MLA5232,MLA-ELECTRIC_DRILLS,2,6999.0,500,1,"['good_quality_thumbnail', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'MLA-chg-threshold-Feb-23', 'self_service_in']",256324891,PI-VENTURES,False,"['brand', 'large_seller', 'credits_profile', 'messages_as_seller']",,5_green,platinum,6296,107521,0.06,0.07,0.87,113817,60 days,26994,60 days,0.0123,352,60 days,0.0312,617,60 days,0.0085,242,6,1730.5,48.35,7187,5
MLA1246216221,Set Juego Kit  Herramientas Manuales 45 Pzas Maletín Salkor,717710-MLA52446695935_112022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1246216221-set-juego-kit-herramientas-manuales-45-pzas-maletin-salkor-_JM,MLA372028,MLA-COMBINED_TOOL_SETS,3,12108.62,500,100,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",225492818,SALKOR,False,"['brand', 'large_seller', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,2148,40273,0.02,0.03,0.95,42421,60 days,3386,60 days,0.0044,16,60 days,0.0067,22,60 days,0.0019,7,6,2993.86,48.35,7202,6
MLA757498211,Kit Set Herramientas Neumaticas Konan 71 Piezas 1/2¨ 1/4¨,943502-MLA53446698576_012023,gold_special,https://articulo.mercadolibre.com.ar/MLA-757498211-kit-set-herramientas-neumaticas-konan-71-piezas-12-14-_JM,MLA372032,MLA-TOOL_AND_CONSTRUCTION_SUPPLIES,4,43210.0,200,1,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'self_service_in', 'mandatory_free_shipping']",148825112,GLOBAL-MART,False,"['normal', 'credits_priority_4', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,1246,25326,0.02,0.02,0.96,26572,60 days,3247,60 days,0.0067,23,60 days,0.0006,2,60 days,0.0014,5,6,10683.67,48.35,5734,9
MLA922501742,Taladro Percutor Eléctrico De 13mm Philco Tp711 710w + Accesorios 220v,635184-MLA50496909423_062022,gold_special,https://www.mercadolibre.com.ar/taladro-percutor-electrico-de-13mm-philco-tp711-710w-accesorios-220v/p/MLA15712883,MLA5232,MLA-ELECTRIC_DRILLS,5,9799.0,5000,500,"['good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",cross_docking,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",184198511,TIENDASUR.,False,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,6427,128463,0.02,0.02,0.96,134890,60 days,23990,60 days,0.0054,138,60 days,0.0936,2020,60 days,0.0022,58,6,2422.8,48.35,6663,5
MLA816651935,Kit De Herramientas Ak - 58 Piezas,891061-MLA53836277093_022023,gold_special,https://articulo.mercadolibre.com.ar/MLA-816651935-kit-de-herramientas-ak-58-piezas-_JM,MLA372028,MLA-COMBINED_TOOL_SETS,6,17000.0,500,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",xd_drop_off,me2,False,True,"['self_service_in', 'mandatory_free_shipping']",307664727,EQUIPAMIENTOSROMANO,False,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,silver,57,872,0.02,0.01,0.97,929,60 days,59,60 days,0.0,0,60 days,0.1403,8,60 days,0.0,0,6,4203.25,48.35,6054,4
MLA932434558,Atornillador Eléctrico Inalámbrico 3.6v Ml-gs18005 Klatter,700253-MLA46838556570_072021,gold_special,https://www.mercadolibre.com.ar/atornillador-electrico-inalambrico-36v-ml-gs18005-klatter/p/MLA18330845,MLA30803,MLA-ELECTRIC_SCREWDRIVERS_AND_IMPACT_WRENCHES,7,6499.0,5000,1,"['ahora-paid-by-buyer', 'brand_verified', 'deal_of_the_day', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'MLA-chg-threshold-Feb-23']",417972986,PL MLA,False,"['brand', 'large_seller', 'mshops', 'messages_as_seller']",,5_green,platinum,14087,229798,0.05,0.01,0.94,243885,60 days,34312,60 days,0.0076,280,60 days,0.0,0,60 days,0.0,0,6,1606.88,48.35,6818,3
MLA1142420277,Hidrolavadora Eléctrica Silverfox Smjphi117 Naranja Y Negra De 1400w Con 105bar De Presión Máxima 220v - 50hz,862509-MLA47147789920_082021,gold_special,https://www.mercadolibre.com.ar/hidrolavadora-electrica-silverfox-smjphi117-naranja-y-negra-de-1400w-con-105bar-de-presion-maxima-220v-50hz/p/MLA18280080,MLA30840,MLA-ELECTRIC_PRESSURE_WASHERS,8,15599.0,500,200,"['good_quality_picture', 'good_quality_thumbnail', 'deal_of_the_day', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'meli_choice_candidate']",cross_docking,me2,False,True,"['self_service_out', 'mandatory_free_shipping']",256324891,PI-VENTURES,False,"['brand', 'large_seller', 'credits_profile', 'messages_as_seller']",,5_green,platinum,6296,107521,0.06,0.07,0.87,113817,60 days,26994,60 days,0.0123,352,60 days,0.0312,617,60 days,0.0085,242,6,3856.85,48.35,7049,5
MLA1121257977,Engrapadora Clavadora Profesional Dakota Linea Pesada Regalo,750571-MLA49003745311_022022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1121257977-engrapadora-clavadora-profesional-dakota-linea-pesada-regalo-_JM,MLA371993,MLA-MANUAL_STAPLERS_AND_BRAD_NAILERS,9,4740.0,500,50,"['good_quality_picture', 'good_quality_thumbnail', 'lightning_deal', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,False,"['fulfillment', 'self_service_in']",90394911,EXTINGNORTE,False,"['normal', 'eshop', 'developer', 'mshops', 'messages_as_seller']",,5_green,platinum,5918,87758,0.01,0.01,0.98,93676,60 days,18815,60 days,0.0089,182,60 days,0.0027,51,60 days,0.0046,95,6,1171.96,48.35,6910,13
MLA1150504794,Taladro Percutor Eléctrico De 13mm Salkor Tpp1300 900w + Accesorios 220v 50hz,601928-MLA43167305022_082020,gold_special,https://www.mercadolibre.com.ar/taladro-percutor-electrico-de-13mm-salkor-tpp1300-900w-accesorios-220v-50hz/p/MLA15763635,MLA5232,MLA-ELECTRIC_DRILLS,10,12910.8,200,50,"['good_quality_picture', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'best_seller_candidate', 'shipping_guaranteed']",fulfillment,me2,False,True,"['fulfillment', 'mandatory_free_shipping']",537103711,TERRA HERRAMIENTAS,False,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",,5_green,platinum,157,3592,0.06,0.01,0.93,3749,60 days,1962,60 days,0.0014,3,60 days,0.0059,12,60 days,0.0,0,6,3192.2,48.35,7101,2
